SCORE,Ranked,Popularity,Members,Type,Magazine, Recommended,Mixed Feelings,Not Recommended
9.47,1,1,653965,Manga,Young Animal,232,15,9
9.3,2,26,252291,Manga,Ultra Jump,119,7,2
9.24,3,15,357225,Manga,Morning,86,7,1
9.22,4,3,589767,Manga,Shounen Jump (Weekly),172,17,15
9.15,5,29,232050,Manga,Big Comic Original,66,7,5
9.08,6,56,160881,Manga,Shounen Jump (Weekly),49,1,1
9.05,7,19,287529,Manga,Afternoon,62,10,10
9.03,8,20,286089,Manga,Shounen Gangan,53,0,2
9.03,9,48,169586,Manga,good! Afternoon,44,2,3
9.02,10,9,420014,Manga,Big Comic Spirits,202,31,27
9.0,11,53,163248,Manga,Young Jump,42,3,3
8.96,12,96,120894,Manga,Afternoon,32,3,2
8.95,13,28,241133,Manga,Big Comic Spirits,64,6,2
8.94,14,309,49468,Manga,Shounen Magazine (Weekly),18,0,1
8.93,15,167,81942,Manga,Young Jump,24,1,0
8.92,18,25,259502,Manga,Young Jump,92,8,8
8.88,20,70,148466,Manga,Dengeki Daioh,40,0,0
8.88,21,55,162339,Manga,Shounen Magazine (Weekly),36,1,5
8.88,22,231,64563,Manga,Young Animal,15,0,0
8.86,26,23,262571,Manga,Shounen Magazine (Weekly),93,9,1
8.85,27,34,209391,Manga,Shounen Jump (Weekly),43,1,0
8.84,28,1134,15605,Manga,Gangan Joker,10,1,0
8.82,30,280,55888,Manga,Animage,14,0,0
8.82,31,81,129947,Manga,Hana to Yume,49,9,2
8.79,35,79,131988,Manga,Cookie,22,1,0
8.79,36,60,156069,Manga,Shounen Jump+,78,4,7
8.78,37,487,33639,Manga,Morning,7,0,0
8.77,39,64,153599,Manga,Web Comic Gamma,25,12,15
8.75,40,6,462498,Manga,Tonari no Young Jump,45,10,2
8.74,41,4,578918,Manga,Shounen Jump+,270,57,26
8.73,42,24,260551,Manga,Shounen Jump (Weekly),34,7,3
8.73,43,141,93646,Manga,Young Jump,39,0,2
8.72,45,168,81886,Manga,Shounen Magazine (Weekly),15,3,2
8.72,46,178,79994,Manga,Afternoon,12,0,0
8.7,48,239,63018,Manga,Kurage Bunch,32,2,0
8.7,49,12,384364,Manga,Shounen Jump (Weekly),89,4,3
8.69,50,191,75645,Manga,Shounen Magazine (Monthly),28,1,0
8.69,51,398,40302,Manga,Jump SQ.,14,1,0
8.69,52,132,98212,Manga,Shounen Jump+,53,3,0
8.68,53,205,71272,Manga,Afternoon,30,2,5
8.68,54,87,126869,Manga,Young Magazine (Weekly),22,5,4
8.68,55,51,164901,Manga,Gessan,48,2,2
8.67,58,129,99448,Manga,Dengeki Daioh,77,3,1
8.66,60,59,156144,Manga,Young Jump,67,18,14
8.66,62,355,44818,Manga,Manga Action,7,1,0
8.66,63,375,42693,Manga,LaLa,5,1,0
8.65,67,1466,12791,Manga,Shounen Ace,2,0,0
8.65,68,98,117083,Manga,Afternoon,37,0,1
8.65,69,58,157289,Manga,comico,67,1,1
8.64,71,154,87077,Manga,Young Jump,25,2,0
8.63,74,142,92743,Manga,Shounen Jump (Weekly),25,1,1
8.63,75,447,36475,Manga,Comic Blade,17,1,1
8.62,76,106,112902,Manga,Big Comic Original,31,4,0
8.62,77,289,53711,Manga,Betsucomi,13,1,1
8.62,79,108,111976,Manga,MangaONE,12,1,1
